Designation,Family,Weight,d,bf,tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,fy,fy,kf,Compact_x,Zex,Compact_y,Zey
457.0x12.7CHS,CHS,139,457,457,12.7,17700,438000000,1920000,2510000,157,438000000,1920000,2510000,157,876000,3.83E+12,350,350,1,N,2500000,N,2500000
457.0x9.5CHS,CHS,105,457,457,9.5,13400,334000000,1460000,1900000,158,334000000,1460000,1900000,158,669000,2.93E+12,350,350,1,N,1790000,N,1790000
457.0x6.4CHS,CHS,71.1,457,457,6.4,9060,230000000,1010000,1300000,159,230000000,1010000,1300000,159,460000,2.01E+12,350,350,0.904,N,1090000,N,1090000
406.4x12.7CHS,CHS,123,406.4,406.4,12.7,15700,305000000,1500000,1970000,139,305000000,1500000,1970000,139,609000,3.00E+12,350,350,1,C,1970000,C,1970000
406.4x9.5CHS,CHS,93,406.4,406.4,9.5,11800,233000000,1150000,1500000,140,233000000,1150000,1500000,140,467000,2.30E+12,350,350,1,N,1450000,N,1450000
406.4x6.4CHS,CHS,63.1,406.4,406.4,6.4,8040,161000000,792000,1020000,141,161000000,792000,1020000,141,322000,1.58E+12,350,350,0.96,N,895000,N,895000
355.6x12.7CHS,CHS,107,355.6,355.6,12.7,13700,201000000,1130000,1490000,121,201000000,1130000,1490000,121,403000,2.26E+12,350,350,1,C,1490000,C,1490000
355.6x9.5CHS,CHS,81.1,355.6,355.6,9.5,10300,155000000,871000,1140000,122,155000000,871000,1140000,122,310000,1.74E+12,350,350,1,N,1130000,N,1130000
355.6x6.4CHS,CHS,55.1,355.6,355.6,6.4,7020,107000000,602000,781000,123,107000000,602000,781000,123,214000,1.20E+12,350,350,1,N,710000,N,710000
323.9x12.7CHS,CHS,97.5,323.9,323.9,12.7,12400,151000000,930000,1230000,110,151000000,930000,1230000,110,301000,1.86E+12,350,350,1,C,1230000,C,1230000
323.9x9.5CHS,CHS,73.7,323.9,323.9,9.5,9380,116000000,717000,939000,111,116000000,717000,939000,111,232000,1.43E+12,350,350,1,C,939000,C,939000
323.9x6.4CHS,CHS,50.1,323.9,323.9,6.4,6380,80500000,497000,645000,112,80500000,497000,645000,112,161000,9.94E+11,350,350,1,N,601000,N,601000
273.1x12.7CHS,CHS,81.6,273.1,273.1,12.7,10400,88300000,646000,862000,92.2,88300000,646000,862000,92.2,177000,1.29E+12,350,350,1,C,862000,C,862000
273.1x9.3CHS,CHS,60.5,273.1,273.1,9.3,7710,67100000,492000,647000,93.3,67100000,492000,647000,93.3,134000,9.83E+11,350,350,1,C,647000,C,647000
273.1x6.4CHS,CHS,42.1,273.1,273.1,6.4,5360,47700000,349000,455000,94.3,47700000,349000,455000,94.3,95400,6.99E+11,350,350,1,N,441000,N,441000
273.1x4.8CHS,CHS,31.8,273.1,273.1,4.8,4050,36400000,267000,346000,94.9,36400000,267000,346000,94.9,72800,5.33E+11,350,350,1,N,312000,N,312000
219.1x8.2CHS,CHS,42.6,219.1,219.1,8.2,5430,30300000,276000,365000,74.6,30300000,276000,365000,74.6,60500,5.52E+11,350,350,1,C,365000,C,365000
219.1x6.4CHS,CHS,33.6,219.1,219.1,6.4,4280,24200000,221000,290000,75.2,24200000,221000,290000,75.2,48400,4.42E+11,350,350,1,C,290000,C,290000
219.1x4.8CHS,CHS,25.4,219.1,219.1,4.8,3230,18600000,169000,220000,75.8,18600000,169000,220000,75.8,37100,3.39E+11,350,350,1,N,210000,N,210000
168.3x7.1CHS,CHS,28.2,168.3,168.3,7.1,3600,11700000,139000,185000,57,11700000,139000,185000,57,23400,2.78E+11,350,350,1,C,185000,C,185000
168.3x6.4CHS,CHS,25.6,168.3,168.3,6.4,3260,10700000,127000,168000,57.3,10700000,127000,168000,57.3,21400,2.54E+11,350,350,1,C,168000,C,168000
168.3x4.8CHS,CHS,19.4,168.3,168.3,4.8,2470,8250000,98000,128000,57.8,8250000,98000,128000,57.8,16500,1.96E+11,350,350,1,C,128000,C,128000
165.1x3.5CHS,CHS,13.9,165.1,165.1,3.5,1780,5800000,70300,91400,57.1,5800000,70300,91400,57.1,11600,1.41E+11,350,350,1,N,86600,N,86600
139.7x3.5CHS,CHS,11.8,139.7,139.7,3.5,1500,3470000,49700,64900,48.2,3470000,49700,64900,48.2,6950,99500000000,350,350,1,N,63700,N,63700
139.7x3.0CHS,CHS,10.1,139.7,139.7,3,1290,3010000,43100,56100,48.3,3010000,43100,56100,48.3,6020,86200000000,350,350,1,N,53300,N,53300
114.3x3.6CHS,CHS,9.83,114.3,114.3,3.6,1250,1920000,33600,44100,39.2,1920000,33600,44100,39.2,3840,67200000000,350,350,1,C,44100,C,44100
114.3x3.2CHS,CHS,8.77,114.3,114.3,3.2,1120,1720000,30200,39500,39.3,1720000,30200,39500,39.3,3450,60400000000,350,350,1,N,39500,N,39500
101.6x3.2CHS,CHS,7.77,101.6,101.6,3.2,989,1200000,23600,31000,34.8,1200000,23600,31000,34.8,2400,47200000000,350,350,1,C,31000,C,31000
101.6x2.6CHS,CHS,6.35,101.6,101.6,2.6,809,991000,19500,25500,35,991000,19500,25500,35,1980,39000000000,350,350,1,N,25100,N,25100
88.9x3.2CHS,CHS,6.76,88.9,88.9,3.2,862,792000,17800,23500,30.3,792000,17800,23500,30.3,1580,35600000000,350,350,1,C,23500,C,23500
88.9x2.6CHS,CHS,5.53,88.9,88.9,2.6,705,657000,14800,19400,30.5,657000,14800,19400,30.5,1310,29600000000,350,350,1,C,19400,C,19400
76.1x3.2CHS,CHS,5.75,76.1,76.1,3.2,733,488000,12800,17000,25.8,488000,12800,17000,25.8,976,25600000000,350,350,1,C,17000,C,17000
76.1x2.3CHS,CHS,4.19,76.1,76.1,2.3,533,363000,9550,12500,26.1,363000,9550,12500,26.1,727,19100000000,350,350,1,C,12500,C,12500
60.3x2.9CHS,CHS,4.11,60.3,60.3,2.9,523,216000,7160,9560,20.3,216000,7160,9560,20.3,432,14300000000,350,350,1,C,9560,C,9560
60.3x2.3CHS,CHS,3.29,60.3,60.3,2.3,419,177000,5850,7740,20.5,177000,5850,7740,20.5,353,11700000000,350,350,1,C,7740,C,7740
48.3x2.9CHS,CHS,3.25,48.3,48.3,2.9,414,107000,4430,5990,16.1,107000,4430,5990,16.1,214,8860000000,350,350,1,C,5990,C,5990
48.3x2.3CHS,CHS,2.61,48.3,48.3,2.3,332,88100,3650,4870,16.3,88100,3650,4870,16.3,176,7300000000,350,350,1,C,4870,C,4870
42.4x2.6CHS,CHS,2.55,42.4,42.4,2.6,325,64600,3050,4120,14.1,64600,3050,4120,14.1,129,6100000000,350,350,1,C,4120,C,4120
42.4x2.0CHS,CHS,1.99,42.4,42.4,2,254,51900,2450,3270,14.3,51900,2450,3270,14.3,104,4900000000,350,350,1,C,3270,C,3270
33.7x2.6CHS,CHS,1.99,33.7,33.7,2.6,254,30900,1840,2520,11,30900,1840,2520,11,61.9,3670000000,350,350,1,C,2520,C,2520
33.7x2.0CHS,CHS,1.56,33.7,33.7,2,199,25100,1490,2010,11.2,25100,1490,2010,11.2,50.2,2980000000,350,350,1,C,2010,C,2010
26.9x2.3CHS,CHS,1.4,26.9,26.9,2.3,178,13600,1010,1400,8.74,13600,1010,1400,8.74,27.1,2020000000,350,350,1,C,1400,C,1400
26.9x2.0CHS,CHS,1.23,26.9,26.9,2,156,12200,907,1240,8.83,12200,907,1240,8.83,24.4,1810000000,350,350,1,C,1240,C,1240
