Designation,Weight,d,bf,tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,fy,fy,kf,Compact_x,Zex,Compact_y,Zey
250x9SHS,65.9,250,250,9,8400,79800000,639000,750000,97.5,79800000,639000,750000,97.5,129000,9.72E+11,350,430,1,N,744000,N,744000
250x6SHS,45,250,250,6,5730,56200000,450000,521000,99,56200000,450000,521000,99,88700,6.81E+11,350,430,0.853,S,409000,S,409000
200x9SHS,51.8,200,200,9,6600,39200000,392000,465000,77.1,39200000,392000,465000,77.1,64500,5.99E+11,350,430,1,C,465000,C,465000
200x6SHS,35.6,200,200,6,4530,28000000,280000,327000,78.6,28000000,280000,327000,78.6,44800,4.25E+11,350,430,1,N,294000,N,294000
200x5SHS,29.9,200,200,5,3810,23900000,239000,277000,79.1,23900000,239000,277000,79.1,37800,3.62E+11,350,430,0.89,S,223000,S,223000
150x9SHS,37.7,150,150,9,4800,15400000,205000,248000,56.6,15400000,205000,248000,56.6,26100,3.16E+11,350,430,1,C,248000,C,248000
150x6SHS,26.2,150,150,6,3330,11300000,150000,178000,58.2,11300000,150000,178000,58.2,18400,2.29E+11,350,430,1,C,178000,C,178000
150x5SHS,22.1,150,150,5,2810,9700000,129000,151000,58.7,9700000,129000,151000,58.7,15600,1.97E+11,350,430,1,N,144000,N,144000
125x9SHS,30.6,125,125,9,3900,8380000,134000,165000,46.4,8380000,134000,165000,46.4,14500,2.08E+11,350,430,1,C,165000,C,165000
125x6SHS,21.4,125,125,6,2730,6290000,101000,120000,48,6290000,101000,120000,48,10400,1.54E+11,350,430,1,C,120000,C,120000
125x5SHS,18.2,125,125,5,2310,5440000,87100,103000,48.5,5440000,87100,103000,48.5,8870,1.33E+11,350,430,1,C,103000,C,103000
125x4SHS,14.8,125,125,4,1880,4520000,72300,84500,49,4520000,72300,84500,49,7250,1.10E+11,350,430,1,N,78900,N,78900
100x9SHS,23.5,100,100,9,3000,3910000,78100,98600,36.1,3910000,78100,98600,36.1,7000,1.23E+11,350,430,1,C,98600,C,98600
