Designation,Weight,d,bf,tf,tw,r1,d1,d1/tw,(bf-tw)/2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,fy,fy,kf,Compact_x,Zex,Compact_y,Zey
wb1200455,455,1200,500,40,16,,1120,70,6.05,57900,15300000000,25600000,28200000,515,834000000,3330000,5070000,120,22000000,2.80E+14,280,300,0.837,C,28200000,C,5000000
wb1200423,423,1192,500,36,16,,1120,70,6.72,53900,13900000000,23300000,25800000,508,750000000,3000000,4570000,118,16500000,2.51E+14,280,300,0.825,C,25800000,C,4500000
wb1200392,392,1184,500,32,16,,1120,70,7.56,49900,12500000000,21100000,23400000,500,667000000,2670000,4070000,116,12100000,2.21E+14,280,300,0.811,C,23400000,N,4000000
wb1200342,342,1184,400,32,16,,1120,70,6,43500,10400000000,17500000,19800000,488,342000000,1710000,2630000,88.6,9960000,1.13E+14,280,300,0.783,C,19800000,C,2560000
wb1200317,317,1176,400,28,16,,1120,70,6.86,40300,9250000000,15700000,17900000,479,299000000,1500000,2310000,86.1,7230000,9.85E+13,280,300,0.766,C,17900000,C,2240000
wb1200278,278,1170,350,25,16,,1120,70,6.68,35400,7610000000,13000000,15000000,464,179000000,1020000,1600000,71.1,5090000,5.87E+13,280,300,0.733,C,15000000,C,1530000
wb1200249,249,1170,275,25,16,,1120,70,5.18,31700,6380000000,10900000,12900000,449,87000000,633000,1020000,52.4,4310000,2.85E+13,280,300,0.701,C,12900000,C,949000
wb1000322,322,1024,400,32,16,,960,60,6,41000,7480000000,14600000,16400000,427,342000000,1710000,2620000,91.3,9740000,8.41E+13,280,300,0.832,C,16400000,C,2560000
wb1000296,296,1016,400,28,16,,960,60,6.86,37800,6650000000,13100000,14800000,420,299000000,1490000,2300000,89,7010000,7.30E+13,280,300,0.817,C,14800000,C,2240000
wb1000258,258,1010,350,25,16,,960,60,6.68,32900,5430000000,10700000,12300000,406,179000000,1020000,1590000,73.8,4870000,4.34E+13,280,300,0.79,C,12300000,C,1530000
wb1000215,215,1000,300,20,16,,960,60,7.1,27400,4060000000,8120000,9570000,385,90300000,602000,961000,57.5,2890000,2.17E+13,300,300,0.738,C,9570000,C,903000
wb900282,282,924,400,32,12,,860,71.7,6.06,35900,5730000000,12400000,13600000,399,341000000,1710000,2590000,97.5,8870000,6.79E+13,280,310,0.845,C,13600000,C,2560000
wb900257,257,916,400,28,12,,860,71.7,6.93,32700,5050000000,11000000,12200000,393,299000000,1490000,2270000,95.6,6150000,5.89E+13,280,310,0.83,C,12200000,C,2240000
wb900218,218,910,350,25,12,,860,71.7,6.76,27800,4060000000,8930000,9960000,382,179000000,1020000,1560000,80.2,4020000,3.50E+13,280,310,0.8,C,9960000,C,1530000
wb900175,175,900,300,20,12,,860,71.7,7.2,22300,2960000000,6580000,7500000,364,90100000,601000,931000,63.5,2060000,1.74E+13,300,310,0.744,C,7500000,C,901000
wb800192,192,816,300,28,10,,760,76,5.18,24400,2970000000,7290000,8060000,349,126000000,840000,1280000,71.9,4420000,1.96E+13,280,310,0.824,C,8060000,C,1260000
wb800168,168,810,275,25,10,,760,76,5.3,21400,2480000000,6140000,6840000,341,86700000,631000,964000,63.7,2990000,1.34E+13,280,310,0.799,C,6840000,C,946000
wb800146,146,800,275,20,10,,760,76,6.63,18600,2040000000,5100000,5730000,331,69400000,505000,775000,61.1,1670000,1.06E+13,300,310,0.763,N,5710000,C,757000
wb800122,122,792,250,16,10,,760,76,7.5,15600,1570000000,3970000,4550000,317,41700000,334000,519000,51.7,921000,6.28E+12,300,310,0.718,N,4530000,N,498000
wb700173,173,716,275,28,10,,660,66,4.73,22000,2060000000,5760000,6390000,306,97100000,706000,1080000,66.4,4020000,1.15E+13,280,310,0.85,C,6390000,C,1060000
wb700150,150,710,250,25,10,,660,66,4.8,19100,1710000000,4810000,5370000,299,65200000,521000,798000,58.4,2690000,7.64E+12,280,310,0.828,C,5370000,C,782000
wb700130,130,700,250,20,10,,660,66,6,16600,1400000000,3990000,4490000,290,52100000,417000,642000,56,1510000,6.03E+12,300,310,0.795,C,4490000,C,626000
wb700115,115,692,250,16,10,,660,66,7.5,14600,1150000000,3330000,3790000,281,41700000,334000,516000,53.5,888000,4.77E+12,300,310,0.767,C,3790000,N,498000
