Designation,Weight,d,bf,tf,tw,r1,d1,d1/tw,(bf-tw)/2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,fy,fy,kf,Compact_x,Zex,Compact_y,Zey
wc500440,440,480,500,40,40,,400,10,5.75,56000,2150000000,8980000,10400000,196,835000000,3340000,5160000,122,30100000,4.04E+13,280,280,1,C,10400000,C,5010000
wc500414,414,480,500,40,32,,400,12.5,5.85,52800,2110000000,8800000,10100000,200,834000000,3340000,5100000,126,25400000,4.04E+13,280,280,1,C,10100000,C,5010000
wc500383,383,472,500,36,32,,400,12.5,6.5,48800,1890000000,7990000,9130000,197,751000000,3000000,4600000,124,19900000,3.57E+13,280,280,1,C,9130000,C,4510000
wc500340,340,514,500,32,25,,450,18,7.42,43200,2050000000,7980000,8980000,218,667000000,2670000,4070000,124,13100000,3.88E+13,280,280,1,C,8980000,C,4000000
wc500290,290,506,500,28,20,,450,22.5,8.57,37000,1750000000,6930000,7700000,218,584000000,2330000,3540000,126,8420000,3.33E+13,280,300,1,N,7570000,N,3410000
wc500267,267,500,500,25,20,,450,22.5,9.6,34000,1560000000,6250000,6950000,214,521000000,2080000,3170000,124,6370000,2.94E+13,280,300,1,N,6700000,N,2970000
wc500228,228,490,500,20,20,,450,22.5,12,29000,1260000000,5130000,5710000,208,417000000,1670000,2540000,120,3880000,2.30E+13,300,300,1,N,5210000,N,2200000
wc400361,361,430,400,40,40,,350,8.75,4.5,46000,1360000000,6340000,7460000,172,429000000,2140000,3340000,96.5,24800000,1.63E+13,280,280,1,C,7470000,C,3210000
wc400328,328,430,400,40,28,,350,12.5,4.65,41800,1320000000,6140000,7100000,178,427000000,2140000,3270000,101,19200000,1.62E+13,280,280,1,C,7100000,C,3200000
wc400303,303,422,400,36,28,,350,12.5,5.17,38600,1180000000,5570000,6420000,175,385000000,1920000,2950000,99.8,14800000,1.43E+13,280,280,1,C,6420000,C,2880000
wc400270,270,414,400,32,25,,350,14,5.86,34400,1030000000,4950000,5660000,173,342000000,1710000,2610000,99.8,10400000,1.25E+13,280,280,1,C,5660000,C,2560000
wc400212,212,400,400,25,20,,350,17.5,7.6,27000,776000000,3880000,4360000,169,267000000,1330000,2040000,99.4,5060000,9.38E+12,280,300,1,N,4360000,N,2000000
wc400181,181,390,400,20,20,,350,17.5,9.5,23000,620000000,3180000,3570000,164,214000000,1070000,1640000,96.4,3080000,7.31E+12,300,300,1,N,3410000,N,1510000
wc400144,144,382,400,16,16,,350,21.9,12,18400,486000000,2550000,2830000,163,171000000,854000,1300000,96.3,1580000,5.72E+12,300,300,1,N,2590000,N,1120000
wc350280,280,355,350,40,28,,275,9.82,4.03,35700,747000000,4210000,4940000,145,286000000,1640000,2500000,89.6,16500000,7.10E+12,280,280,1,C,4940000,C,2450000
wc350258,258,347,350,36,28,,275,9.82,4.47,32900,661000000,3810000,4450000,142,258000000,1470000,2260000,88.5,12700000,6.23E+12,280,280,1,C,4450000,C,2210000
wc350230,230,339,350,32,25,,275,11,5.08,29300,573000000,3380000,3910000,140,229000000,1310000,2000000,88.4,8960000,5.40E+12,280,280,1,C,3910000,C,1960000
wc350197,197,331,350,28,20,,275,13.8,5.89,25100,486000000,2940000,3350000,139,200000000,1140000,1740000,89.3,5750000,4.60E+12,280,300,1,C,3350000,C,1720000
